"Category","Figure","Claim","Source","Sample","Date","Source URL"
"Capability","47%","of job seekers actively built AI skills in the past six months, up from 41% a year earlier.","iCIMS Insights","n=1,000 US job seekers","Sept 2026","https://www.prnewswire.com/news-releases/icims-insights-workers-are-teaching-themselves-ai-skills-faster-than-employers-train-them-raising-stakes-for-ai-powered-recruiting-and-screening-302874634.html"
"Capability","30%","of job seekers are teaching themselves AI skills, up from 22% a year earlier, outpacing employer-provided training.","iCIMS Insights","n=1,000 US job seekers","Sept 2026","https://www.prnewswire.com/news-releases/icims-insights-workers-are-teaching-themselves-ai-skills-faster-than-employers-train-them-raising-stakes-for-ai-powered-recruiting-and-screening-302874634.html"
"Capability","9 in 10","employees use AI at least sometimes, but only 1 in 6 feels fully prepared to use it well.","Study.com, State of AI Jobs and Skills 2026","n=1,000 employees","Mar 2026","https://study.com/resources/state-of-ai-jobs-and-skills.html"
"Capability","49%","of employees say they lack sufficient AI skills for most of the tasks they face.","Study.com, State of AI Jobs and Skills 2026","n=1,000 employees","Mar 2026","https://study.com/resources/state-of-ai-jobs-and-skills.html"
"Capability","18%","of employees describe themselves as fully prepared to work with AI, against 52% who use it regularly.","Study.com, State of AI Jobs and Skills 2026","n=1,000 employees","Mar 2026","https://study.com/resources/state-of-ai-jobs-and-skills.html"
"Capability","60%","of job seekers feel prepared to adapt to AI at work, a confidence figure that sits well above measured proficiency.","iCIMS Insights","n=1,000 US job seekers","Sept 2026","https://www.prnewswire.com/news-releases/icims-insights-workers-are-teaching-themselves-ai-skills-faster-than-employers-train-them-raising-stakes-for-ai-powered-recruiting-and-screening-302874634.html"
"Capability","35%","of leaders believe they have adequately prepared their staff for AI-driven ways of working.","IDC Analyst Brief, via Workera","Sample not disclosed","2026","https://www.workera.ai/guides-reports/the-5-5-trillion-skills-gap-what-idcs-new-report-reveals-about-ai-workforce-readiness"
"Capability","1 in 3","organisations say they are fully ready to adopt AI-driven ways of working.","IDC Analyst Brief, via Workera","Sample not disclosed","2026","https://www.workera.ai/guides-reports/the-5-5-trillion-skills-gap-what-idcs-new-report-reveals-about-ai-workforce-readiness"
"Training","56%","of employees say the biggest gap in AI training is the absence of real-world practice tasks.","Study.com, State of AI Jobs and Skills 2026","n=1,000 employees","Mar 2026","https://study.com/resources/state-of-ai-jobs-and-skills.html"
"Training","35%","of employees have received no AI training at all from their employer.","Study.com, State of AI Jobs and Skills 2026","n=1,000 employees","Mar 2026","https://study.com/resources/state-of-ai-jobs-and-skills.html"
"Training","18%","of employees who did receive AI training say it prepared them to work independently. A further 25% say it helped with simple tasks only.","Study.com, State of AI Jobs and Skills 2026","n=1,000 employees","Mar 2026","https://study.com/resources/state-of-ai-jobs-and-skills.html"
"Training","1 in 6","workers receive employer-provided AI training, a figure that has stayed flat year on year while self-teaching has risen sharply.","iCIMS Insights","n=1,000 US job seekers","Sept 2026","https://www.prnewswire.com/news-releases/icims-insights-workers-are-teaching-themselves-ai-skills-faster-than-employers-train-them-raising-stakes-for-ai-powered-recruiting-and-screening-302874634.html"
"Training","22%","of employers provide mandatory AI training for all employees. 17% provide none at all.","ZipRecruiter, 2026 AI Employer Report","n=1,000+ hiring professionals","Jun 2026","https://www.ziprecruiter-research.org/economic-insights-research/ai-employer-report-2026"
"Training","42%","of job seekers find employers that offer AI training more attractive, and 14% would accept lower pay to get it.","iCIMS Insights","n=1,000 US job seekers","Sept 2026","https://www.prnewswire.com/news-releases/icims-insights-workers-are-teaching-themselves-ai-skills-faster-than-employers-train-them-raising-stakes-for-ai-powered-recruiting-and-screening-302874634.html"
"Training","67%","of employees say two hours a week would be enough to meaningfully improve their AI skills. 41% cite lack of time as the main barrier.","Study.com, State of AI Jobs and Skills 2026","n=1,000 employees","Mar 2026","https://study.com/resources/state-of-ai-jobs-and-skills.html"
"Training","39%","of employees have access to a clear list of approved AI tools. 25% receive no employer AI support whatsoever.","Study.com, State of AI Jobs and Skills 2026","n=1,000 employees","Mar 2026","https://study.com/resources/state-of-ai-jobs-and-skills.html"
"Market context","72%","of employers worldwide report difficulty filling roles, down marginally from 74% the year before.","ManpowerGroup, 2026 Talent Shortage Survey","n=39,063 employers, 41 countries","Oct 2025","https://www.prnewswire.com/news-releases/global-talent-shortage-reaches-turning-point-as-ai-skills-claim-top-spot-302698509.html"
"Market context","300+","applications per hire is now the average, roughly triple the 2021 level.","Ashby","100m+ applications, 200k+ jobs, 2021–2026","May 2026","https://www.prnewswire.com/news-releases/new-data-from-ashby-reveals-surge-in-applications-rising-selectivity-and-shifting-recruiter-workloads-302765846.html"
"Market context","50%","less likely: a candidate's chance of getting an interview has roughly halved over five years, raising the value of any signal that sorts reliably.","Ashby","100m+ applications, 200k+ jobs, 2021–2026","May 2026","https://www.prnewswire.com/news-releases/new-data-from-ashby-reveals-surge-in-applications-rising-selectivity-and-shifting-recruiter-workloads-302765846.html"
"Market context","$5.5tn","in projected losses by 2026 from AI-related skills shortages, through product delays, quality problems and missed revenue.","IDC Analyst Brief, via Workera","Sample not disclosed","2026","https://www.workera.ai/guides-reports/the-5-5-trillion-skills-gap-what-idcs-new-report-reveals-about-ai-workforce-readiness"
"Market context","90%+","of global enterprises are projected to face critical skills shortages by 2026.","IDC Analyst Brief, via Workera","Sample not disclosed","2026","https://www.workera.ai/guides-reports/the-5-5-trillion-skills-gap-what-idcs-new-report-reveals-about-ai-workforce-readiness"
"Market context","38%","of employers have automated basic data entry and processing away from entry-level roles.","ZipRecruiter, 2026 AI Employer Report","n=1,000+ hiring professionals","Jun 2026","https://www.ziprecruiter-research.org/economic-insights-research/ai-employer-report-2026"
"Market context","31%","of employers have raised experience requirements for entry-level positions because of AI.","ZipRecruiter, 2026 AI Employer Report","n=1,000+ hiring professionals","Jun 2026","https://www.ziprecruiter-research.org/economic-insights-research/ai-employer-report-2026"
"Market context","57%","of employers have raised baseline productivity expectations because of AI.","ZipRecruiter, 2026 AI Employer Report","n=1,000+ hiring professionals","Jun 2026","https://www.ziprecruiter-research.org/economic-insights-research/ai-employer-report-2026"
"Market context","46%","of organisations name lack of talent as the single biggest barrier to AI adoption, ahead of data privacy at 43% and data quality at 40%.","IDC Analyst Brief, via Workera","Sample not disclosed","2026","https://www.workera.ai/guides-reports/the-5-5-trillion-skills-gap-what-idcs-new-report-reveals-about-ai-workforce-readiness"
"Market context","35%","of employers expect AI to increase their total headcount, against 16% currently hiring fewer people.","ZipRecruiter, 2026 AI Employer Report","n=1,000+ hiring professionals","Jun 2026","https://www.ziprecruiter-research.org/economic-insights-research/ai-employer-report-2026"
"Market context","83% / 48%","of employers report talent shortages in Germany against 48% in China, with the UK at 73% and the US at 69%.","ManpowerGroup, 2026 Talent Shortage Survey","n=39,063 employers, 41 countries","Oct 2025","https://www.prnewswire.com/news-releases/global-talent-shortage-reaches-turning-point-as-ai-skills-claim-top-spot-302698509.html"
